title,publish_time,authors,journal
Covid-19: Demand for dexamethasone surges as RECOVERY trial publishes preprint.,"{""value"":""2020-06-23""}","Mahase, Elisabeth",BMJ
Covid-19 and ethnic minorities: an urgent agenda for overdue action.,"{""value"":""2020-06-23""}","Khunti, Kamlesh; Platt, Lucinda; Routen, Ash; Abbasi, Kamran",BMJ
Covid-19 and lack of linked datasets for care homes.,"{""value"":""2020-06-24""}","Hanratty, Barbara; Burton, Jennifer Kirsty; Goodman, Claire; Gordon, Adam L; Spilsbury, Karen",BMJ
Covid-19: UK prime minister announces relaxation of lockdown and social distancing rules.,"{""value"":""2020-06-24""}","Rimmer, Abi",BMJ
Covid-19: Doctors feel shut out of plans for dealing with backlog of missed care.,"{""value"":""2020-06-24""}","Rimmer, Abi",BMJ
Covid-19: Medical leaders call for rapid review to prepare for second wave.,"{""value"":""2020-06-24""}","Mahase, Elisabeth",BMJ
Sixty seconds on . . . the two metre rule.,"{""value"":""2020-06-24""}","Rimmer, Abi",BMJ
"Covid-19: Continued outbreaks in care homes risk extending pandemic, say experts.","{""value"":""2020-06-24""}","Griffin, Shaun",BMJ
Covid-19 antibody tests: a briefing.,"{""value"":""2020-06-24""}","Baraniuk, Chris",BMJ
Covid-19: Footballers mark silent respect for victims.,"{""value"":""2020-06-24""}","Shepherd, Alison",BMJ
Rapid roll out of SARS-CoV-2 antibody testing-a concern.,"{""value"":""2020-06-24""}","Andersson, Monique; Low, Nicola; French, Neil; Greenhalgh, Trisha; Jeffery, Katie; Brent, Andrew; Ball, Jonathan; Pollock, Allyson; McCoy, David; Iturriza-Gomara, Miren; Buchan, Iain; Salisbury, Helen; Pillay, Deenan; Irving, Will",BMJ
Why covid-19 antibody tests are not the game changer the UK government claims.,"{""value"":""2020-06-24""}","Armstrong, Stephen",BMJ
Seven days in medicine: 17-23 June 2020.,"{""value"":""2020-06-24""}",,BMJ
Commercial influence and covid-19.,"{""value"":""2020-06-24""}","Moynihan, Ray; Macdonald, Helen; Bero, Lisa; Godlee, Fiona",BMJ
Lessons in contact tracing from Germany.,"{""value"":""2020-06-25""}","Reintjes, Ralf",BMJ
"Covid-19: Ministers urged to waive £993 visa bill for ""stranded"" doctors who had exams cancelled.","{""value"":""2020-06-25""}","Rimmer, Abi",BMJ
Covid-19 and alcohol: parental drinking influences the next generation.,"{""value"":""2020-06-25""}","Sigman, Aric",BMJ
Covid-19: healthcare and politics are inexorably intertwined.,"{""value"":""2020-06-25""}","Heer-Stavert, Sati",BMJ
Covid-19: MPs reject calls to routinely test health and care workers.,"{""value"":""2020-06-25""}","Mahase, Elisabeth",BMJ
"Covid-19: Timing is critical for antibody tests, finds Cochrane review.","{""value"":""2020-06-25""}","Wise, Jacqui",BMJ
Getting back on track: control of covid-19 outbreaks in the community.,"{""value"":""2020-06-25""}","Roderick, Peter; Macfarlane, Alison; Pollock, Allyson M",BMJ
Presenting clinical features on darker skin: five minutes with . . . Malone Mukwende.,"{""value"":""2020-06-25""}","Rimmer, Abi",BMJ
"Ebola: DRC's 10th outbreak is declared over.","{""value"":""2020-06-26""}","Wise, Jacqui",BMJ
Covid-19: scientific advisers must do more than just voice their concerns behind closed doors.,"{""value"":""2020-06-26""}","Khashu, Minesh",BMJ
"Covid-19: RCGP apologises for covid-19 ""lifestyle"" event title.","{""value"":""2020-06-29""}","Rimmer, Abi",BMJ
Covid-19: Remdesivir is recommended for authorisation by European Medicines Agency.,"{""value"":""2020-06-29""}","Wise, Jacqui",BMJ
Food is medicine: actions to integrate food and nutrition into healthcare,"{""value"":""2020-06-29""}","Downer, Sarah; Berkowitz, Seth A; Harlan, Timothy S; Olstad, Dana Lee; Mozaffarian, Dariush",BMJ
Covid-19 cases increase steeply in US south and west.,"{""value"":""2020-06-29""}","Tanne, Janice Hopkins",BMJ
US hospitals must publish price lists after losing court challenge.,"{""value"":""2020-06-29""}","Dyer, Owen",BMJ
Covid-19: recording their stories provides emotional benefit to healthcare workers.,"{""value"":""2020-06-29""}","Bennett, Paul; Hunter, Rachael; Johnston, Steve; Jones, David; Noble, Simon",BMJ
Covid-19: healthcare students face unique mental health challenges.,"{""value"":""2020-06-29""}","Smith, Christopher A",BMJ
"Covid-19: Scotland ""on track"" to eliminate virus.","{""value"":""2020-06-29""}","Christie, Bryan",BMJ
Covid-19: Oxford team begins vaccine trials in Brazil and South Africa to determine efficacy.,"{""value"":""2020-06-29""}","Mahase, Elisabeth",BMJ
Digital approaches for mental health in the age of covid-19.,"{""value"":""2020-06-29""}","Chang, Bernard P; Kessler, Ronald C; Pincus, Harold A; Nock, Matthew K",BMJ
"Sixty seconds on . . . Mr Bean's checklist.","{""value"":""2020-06-29""}","Iacobucci, Gareth",BMJ
Religious discrimination is hindering the covid-19 response.,"{""value"":""2020-06-29""}","Sarkar, Sonia",BMJ
Improving training for surgeons of the future: the consultant thoracic surgeon.,"{""value"":""2020-06-29""}","Robinson, Francesca",BMJ
"Drug misuse rose 30% in past decade and covid-19 could worsen situation, UN report warns.","{""value"":""2020-06-30""}","O'Dowd, Adrian",BMJ
Covid-19: Delays in attending emergency departments may have contributed to deaths of nine children.,"{""value"":""2020-06-30""}","Wise, Jacqui",BMJ
"Evidence does not support vitamin D for reducing respiratory infections, reviews conclude.","{""value"":""2020-06-30""}","Torjesen, Ingrid",BMJ
Covid-19 and the future of mental health in primary care.,"{""value"":""2020-06-30""}","Roca, Miquel; Vicens, Caterina; Gili, Margarita",BMJ
"Covid-19: Admit ethnic minority pregnant women to hospital earlier, says NHS England.","{""value"":""2020-06-30""}","Iacobucci, Gareth",BMJ
Twin epidemics of covid-19 and non-communicable disease.,"{""value"":""2020-06-30""}","Sheldon, Trevor A; Wright, John",BMJ
Respiratory failure and non-invasive respiratory support during the covid-19 pandemic: an update for re-deployed hospital doctors and primary care physicians.,"{""value"":""2020-06-30""}","Nicholson, Thomas W; Talbot, Nick P; Nickol, Annabel; Chadwick, Andrew J; Lawton, Oliver",BMJ
"Nearly half of physicians expect to be working under capacity for at least a year, RCP survey finds.","{""value"":""2020-06-30""}","Rimmer, Abi",BMJ
Non-memory led dementias: care in the time of covid-19.,"{""value"":""2020-06-30""}","Suárez-González, Aida; Zimmermann, Nicola; Waddington, Claire; Wood, Olivia; Harding, Emma; Brotherhood, Emilie; Fox, Nick C; Crutch, Sebastian J",BMJ
Covid-19: Leicester placed under lockdown after spike in cases and hospital admissions.,"{""value"":""2020-06-30""}","Mahase, Elisabeth",BMJ
"Partha Kar: To tackle racism, the NHS needs policies with teeth.","{""value"":""2020-06-30""}","Kar, Partha",BMJ
How should surgeons obtain consent during the covid-19 pandemic?,"{""value"":""2020-06-30""}","Sokol, Daniel; Dattani, Rupen",BMJ
Helen Salisbury: Normal service will be resumed-but not yet.,"{""value"":""2020-06-30""}","Salisbury, Helen",BMJ
"Covid-19: Lopinavir-ritonavir does not benefit hospitalised patients, UK trial finds.","{""value"":""2020-07-01""}","Griffin, Shaun",BMJ
Diagnostic accuracy of serological tests for covid-19: systematic review and meta-analysis,"{""value"":""2020-07-01""}","Lisboa Bastos, Mayara; Tavaziva, Gamuchirai; Abidi, Syed Kunal; Campbell, Jonathon R; Haraoui, Louis-Patrick; Johnston, James C; Lan, Zhiyi; Law, Stephanie; MacLean, Emily; Trajman, Anete; Menzies, Dick; Benedetti, Andrea; Ahmad Khan, Faiz",BMJ
"Covid-19: Surgeons embrace virtual consultations to meet patients' needs during pandemic.","{""value"":""2020-07-01""}","Rimmer, Abi",BMJ
Patient and public involvement in covid-19 policy making.,"{""value"":""2020-07-01""}","Richards, Tessa; Scowcroft, Henry",BMJ
Patients who have recovered from covid-19: issuing certificates and offering voluntary registration.,"{""value"":""2020-07-01""}","Bhopal, Raj",BMJ
Seven days in medicine: 24-30 June 2020.,"{""value"":""2020-07-01""}",,BMJ
Covid-19: NHS leaders braced for longer waiting times as service deals with fallout.,"{""value"":""2020-07-01""}","Iacobucci, Gareth",BMJ
Should doctors tackling covid-19 be immune from negligence liability claims?,"{""value"":""2020-07-01""}","Tomkins, Christine; Purshouse, Craig; Heywood, Rob; Miola, José; Cave, Emma; Devaney, Sarah",BMJ
Covid-19: Four in 10 cases in Italian town that locked down early were asymptomatic.,"{""value"":""2020-07-01""}","Mahase, Elisabeth",BMJ
"Government's ""new deal"" does not erase years of underinvestment in NHS buildings, say leaders.","{""value"":""2020-07-01""}","Iacobucci, Gareth",BMJ
Covid care creates oxygen drought.,"{""value"":""2020-07-01""}",,BMJ
Cancer care during and after the pandemic.,"{""value"":""2020-07-02""}","Neal, Richard D; Nekhlyudov, Larissa; Wheatstone, Pete; Koczwara, Bogda",BMJ
Face masks for the public during covid-19: the more things change.,"{""value"":""2020-07-02""}","Jutel, Annemarie",BMJ
The health of private insurance in the US during covid-19.,"{""value"":""2020-07-02""}","Roehr, Bob",BMJ
"England's new covid-19 monitoring outfit: the Joint Biosecurity Centre.","{""value"":""2020-07-02""}","Vize, Richard",BMJ
"Covid-19: Lack of testing in Brazil is a ""major failure,"" says MSF.","{""value"":""2020-07-02""}","Thornton, Jacqui",BMJ
"Distribution of faulty and out of date PPE is ""national scandal,"" says BMA.","{""value"":""2020-07-03""}","Rimmer, Abi",BMJ
Dexamethasone in the management of covid -19.,"{""value"":""2020-07-03""}","Johnson, Raymond M; Vinetz, Joseph M",BMJ
Sixty seconds on . . . NHS Charities Together.,"{""value"":""2020-07-03""}","Rimmer, Abi",BMJ
Antibody testing for coronavirus disease 2019: not ready for prime time,"{""value"":""2020-07-03""}","Duong, Yen T; Wright, Connor G; Justman, Jessica",BMJ
"A ""new normal"" after covid-19 for NHS healthcare workers who are also carers?","{""value"":""2020-07-03""}","Maitra, Raka",BMJ
Covid-19: US sees record rise in cases.,"{""value"":""2020-07-03""}","Tanne, Janice Hopkins",BMJ
"Covid-19: How does local lockdown work, and is it effective?","{""value"":""2020-07-03""}","Mahase, Elisabeth",BMJ
Covid-19: No large hidden outbreak in Africa but health worker shortage worsens.,"{""value"":""2020-07-03""}","Dyer, Owen",BMJ
"Remdesivir: US purchase of world stocks sparks new ""hunger games,"" warn observers.","{""value"":""2020-07-03""}","Wise, Jacqui",BMJ
Positive effects of covid-19 and social determinants of health: all in it together?,"{""value"":""2020-07-03""}","Hill, Sarah E; Friel, Sharon; Collin, Jeff",BMJ
"Who will guard the guards? Covid-19 research may be incomplete, but experts are vital during this pandemic.","{""value"":""2020-07-03""}","Goh, Shyan",BMJ
Reasons to be cheerful: the other global crisis.,"{""value"":""2020-07-03""}","Roberts, Helen M; Shafran, Roz",BMJ
"Government unveils roadmap for making UK a ""science superpower"".","{""value"":""2020-07-06""}","Torjesen, Ingrid",BMJ
"Too much information, too little evidence: is waste in research fuelling the covid-19 infodemic?","{""value"":""2020-07-06""}","Casigliani, Virginia; De Nard, Francesca; De Vita, Erica; Arzilli, Guglielmo; Grosso, Francesca Maria; Quattrone, Filippo; Tavoschi, Lara; Lopalco, Pierluigi",BMJ
Surgeon who said covid-19 was a hoax has been suspended pending GMC investigation.,"{""value"":""2020-07-06""}","Dyer, Clare",BMJ
Covid-19: research methods must be flexible in a crisis.,"{""value"":""2020-07-06""}","Karmakar, Subhradip; Dhar, Ruby; Jee, Babban",BMJ
Declarations of pharma funding to doctors are hit by covid-19 crisis.,"{""value"":""2020-07-06""}","Eaton, Lynn",BMJ
Urgent call for greater multilateralism and coordination of covid-19 trials.,"{""value"":""2020-07-06""}","Abubakar, Ibrahim; Gupta, Rishi K; Bell, Lucy C K; Lipman, Marc",BMJ
"Why Scotland's slow and steady approach to covid-19 is working.","{""value"":""2020-07-06""}","Sridhar, Devi; Chen, Adriel",BMJ
Covid-19: unjustified risk to people held in immigration removal centres.,"{""value"":""2020-07-07""}","Kamara, Mary; Bingham, Rachel",BMJ
Complete protection from covid-19 is possible for health workers.,"{""value"":""2020-07-07""}","Karlsson, Ulf; Fraenkel, Carl-Johan",BMJ
Helen Salisbury: Is lifestyle a choice?,"{""value"":""2020-07-07""}","Salisbury, Helen",BMJ
Covid-19: Major US medical organisations urge people to wear masks.,"{""value"":""2020-07-07""}","Tanne, Janice Hopkins",BMJ
Rammya Mathew: We must let patients choose how to access primary care.,"{""value"":""2020-07-07""}","Mathew, Rammya",BMJ
GPs call for cut in red tape to manage aftermath of covid-19.,"{""value"":""2020-07-07""}","Wise, Jacqui",BMJ
"Covid-19: Herd immunity is ""unethical and unachievable,"" say experts after report of 5% seroprevalence in Spain.","{""value"":""2020-07-07""}","Griffin, Shaun",BMJ
Is stratified shielding from covid-19 feasible and ethical?,"{""value"":""2020-07-07""}","Petersen, Irene",BMJ
"Lessons from Leicester: a covid-19 testing system that's not fit for purpose.","{""value"":""2020-07-07""}","Gill, Mike; Sridhar, Devi; Godlee, Fiona",BMJ
Covid-19: One in 10 cases in England occurred in frontline health and social care staff.,"{""value"":""2020-07-07""}","Torjesen, Ingrid",BMJ
"Covid-19: Airborne transmission is being underestimated, warn experts.","{""value"":""2020-07-07""}","Dyer, Owen",BMJ
Covid-19: MPs call on government to produce detailed plans for PPE in England.,"{""value"":""2020-07-08""}","Wise, Jacqui",BMJ
Covid-19: Indian doctors criticise directive to expedite vaccine trials.,"{""value"":""2020-07-08""}",,BMJ
Covid-19: The inside story of the RECOVERY trial.,"{""value"":""2020-07-08""}","Wise, Jacqui; Coombes, Rebecca",BMJ
Seven days in medicine: 1-7 July 2020.,"{""value"":""2020-07-08""}",,BMJ
"Not yet time for a public inquiry into UK's response to covid-19.","{""value"":""2020-07-08""}","Bamji, Andrew N",BMJ
"Nightingale's year of nursing: rising to the challenges of the covid-19 era.","{""value"":""2020-07-09""}","Thompson, David R; Darbyshire, Philip",BMJ
Face masks can be devastating for people with hearing loss.,"{""value"":""2020-07-09""}","Chodosh, Joshua; Weinstein, Barbara E; Blustein, Jan",BMJ
Covid-19: Deaths in Mexico triple since reopening began in June.,"{""value"":""2020-07-09""}","Mahase, Elisabeth",BMJ
David Oliver: Covid-19 should increase our commitment to publicly funded and provided healthcare.,"{""value"":""2020-07-09""}","Oliver, David",BMJ
"Covid-19: England must aim for ""zero tolerance"" to avoid 27 000 predicted deaths, experts say.","{""value"":""2020-07-09""}","Mahase, Elisabeth",BMJ
"Physician mothers of children with complex needs: untapped wisdom, resilience, and a hidden workforce.","{""value"":""2020-07-09""}","Maitra, Raka",BMJ
Predicting covid-19 resurgence: do it locally.,"{""value"":""2020-07-09""}","Chiolero, Arnaud",BMJ
Time to go back to school: several good reasons beyond low infection risk.,"{""value"":""2020-07-09""}","Marchetti, Federico; Tamburlini, Giorgio",BMJ
Meat plants-a new front line in the covid-19 pandemic.,"{""value"":""2020-07-09""}","Middleton, John; Reintjes, Ralf; Lopes, Henrique",BMJ
"Vaccines, convalescent plasma, and monoclonal antibodies for covid-19.","{""value"":""2020-07-09""}","Sewell, Herb F; Agius, Raymond M; Kendrick, Denise; Stewart, Marcia",BMJ
Computed tomography of covid-19 pneumonia.,"{""value"":""2020-07-09""}","Ma, Han; Zhang, Yaqin",BMJ
"Experts protest Trump's withdrawal from WHO.","{""value"":""2020-07-10""}","Tanne, Janice Hopkins",BMJ
Diversifying medical school education to represent BAME backgrounds.,"{""value"":""2020-07-10""}","Lynch, Cameron A",BMJ
"Covid-19: Many trusts have not done risk assessments for ethnic minority staff, BMJ investigation finds.","{""value"":""2020-07-10""}","Iacobucci, Gareth",BMJ
Covid-19: US cases soar as Trump pushes for schools to open.,"{""value"":""2020-07-10""}","Tanne, Janice Hopkins",BMJ
"Covid-19: Government is criticised for ""scandalous"" £10bn spent on test and trace programme.","{""value"":""2020-07-10""}","Iacobucci, Gareth",BMJ
"Covid-19: Symptoms are common after acute phase of disease, Italian study shows.","{""value"":""2020-07-10""}","Wise, Jacqui",BMJ
Will medical tourism survive covid-19?,"{""value"":""2020-07-10""}","Tatum, Megan",BMJ
Medical schools and other educational institutions need to tackle racism head on.,"{""value"":""2020-07-13""}","Semlyen, Joanna; Hariharan, Bhairavi; Josiah, Benz; Okongwu, Kaobi; Sowah Quarshie, Louisa; Rodrigues, Veena",BMJ
Covid-19: Leicester mayor accuses government and PHE of withholding key testing data.,"{""value"":""2020-07-13""}","Iacobucci, Gareth",BMJ
Covid-19: excess all cause mortality in domiciliary care.,"{""value"":""2020-07-13""}","Glynn, Judith R; Fielding, Katherine; Shakespeare, Tom; Campbell, Oona",BMJ
Sixty seconds on . . . reorganising the NHS.,"{""value"":""2020-07-13""}","Iacobucci, Gareth",BMJ
Ethnicity and covid-19: working locally to reduce inequalities.,"{""value"":""2020-07-13""}","England, Rhiannon",BMJ
US purchases world stocks of remdesivir: why the rest of the world should be glad to be at the back of the queue.,"{""value"":""2020-07-13""}","Brophy, James M",BMJ
Covid-19: clinicians need continuing professional development in ethics.,"{""value"":""2020-07-13""}","O'Neill, Desmond J",BMJ
Can I receive and store images sent from patients during remote consultations?,"{""value"":""2020-07-13""}","Rimmer, Abi",BMJ
Palliative care for patients with severe covid-19.,"{""value"":""2020-07-14""}","Ting, Ruth; Edmonds, Polly; Higginson, Irene J; Sleeman, Katherine E",BMJ
Obesity and covid-19: the role of the food industry.,"{""value"":""2020-07-14""}","Van de Graaf, Robert C; Hofstra, Leonard",BMJ
Covid-19: Experts criticise claim that remdesivir cuts death rates.,"{""value"":""2020-07-14""}","Day, Michael",BMJ
"Serious violations of health workers' rights during pandemic.","{""value"":""2020-07-14""}","Sheather, Julian; Hartwell, Arthy; Norcliffe-Brown, Dominic",BMJ
"Covid-19: UK must prepare now for winter peak or risk many more deaths, scientists warn.","{""value"":""2020-07-14""}","Iacobucci, Gareth",BMJ
Covid-19: an opportunity to reduce unnecessary healthcare.,"{""value"":""2020-07-14""}","Moynihan, Ray; Johansson, Minna; Maybee, Alies; Lang, Eddy; Légaré, France",BMJ
Obesity is a potential risk factor for covid-19 associated morbidity and mortality in urban Bangladesh.,"{""value"":""2020-07-14""}","Ahmed, Syed Imran; Hasan, S M Tafsir; Ahmed, Tahmeed",BMJ
Covid-19: disinfectants and sanitisers are changing microbiomes.,"{""value"":""2020-07-14""}","Singh, Ajit",BMJ
Delhi prepares to hit 500 000 covid-19 cases.,"{""value"":""2020-07-14""}","Shepherd, Alison",BMJ
Government faces backlash after care workers are excluded from fast track visas.,"{""value"":""2020-07-14""}","Rimmer, Abi",BMJ
"Covid-19: What do we know about ""long covid""?","{""value"":""2020-07-14""}","Mahase, Elisabeth",BMJ
"Rising to the triple challenge of covid-19, Brexit, and climate change.","{""value"":""2020-07-15""}","Green, Liz; Wood, Sara; Bellis, Mark A",BMJ
Covid-19: At least eight doctors in Egypt arrested for criticising government response.,"{""value"":""2020-07-15""}","Dyer, Owen",BMJ
Covid-19: Doctors in France report case of baby infected in utero.,"{""value"":""2020-07-15""}","Tanne, Janice Hopkins",BMJ
"How cancer services are fighting to counter covid-19's impact.","{""value"":""2020-07-15""}","Wilkinson, Emma",BMJ
Lockdown-type measures look effective against covid-19.,"{""value"":""2020-07-15""}","May, Thomas",BMJ
"Sewage monitoring is the UK's next defence against covid-19.","{""value"":""2020-07-15""}","Baraniuk, Chris",BMJ
Structural inequities in the global supply of personal protective equipment.,"{""value"":""2020-07-15""}","Garber, Kent; Ajiko, Mary Margaret; Gualtero-Trujillo, Sandra M; Martinez-Vernaza, Samuel; Chichom-Mefire, Alain",BMJ
Physical distancing interventions and incidence of coronavirus disease 2019: natural experiment in 149 countries,"{""value"":""2020-07-15""}","Islam, Nazrul; Sharp, Stephen J; Chowell, Gerardo; Shabnam, Sharmin; Kawachi, Ichiro; Lacey, Ben; Massaro, Joseph M; D’Agostino, Ralph B; White, Martin",BMJ
"Matt Morgan: Patients' notes should be addressed to them.","{""value"":""2020-07-15""}","Morgan, Matt",BMJ
Covid-19: reduced asthma presentations in children.,"{""value"":""2020-07-15""}","Chavasse, Richard J",BMJ
Covid-19: Data show 5000 fewer hospital admissions for acute coronary syndrome during pandemic.,"{""value"":""2020-07-15""}","Griffin, Shaun",BMJ
"Covid-19: Trump sidelines ""lying"" CDC from collecting mortality data.","{""value"":""2020-07-15""}","Dyer, Owen",BMJ
Covid-19: Government to issue new guidance on DNAR orders after legal challenge.,"{""value"":""2020-07-15""}","Iacobucci, Gareth",BMJ
David Oliver: Was the prime minister justified in blaming care homes for poor covid-19 practice?,"{""value"":""2020-07-15""}","Oliver, David",BMJ
Royal college aims to tackle racism in obstetrics and gynaecology with new taskforce.,"{""value"":""2020-07-16""}","Rimmer, Abi",BMJ
Seven days in medicine: 8-14 July.,"{""value"":""2020-07-16""}",,BMJ
How Africa has tackled covid-19.,"{""value"":""2020-07-16""}","Wadvalla, Bibi-Aisha",BMJ
"Covid-19: PM promises inquiry but says it won't happen during pandemic.","{""value"":""2020-07-16""}","Iacobucci, Gareth",BMJ
The role of chest radiography in confirming covid-19 pneumonia.,"{""value"":""2020-07-16""}","Cleverley, Joanne; Piper, James; Jones, Melvyn M",BMJ
Obesity and covid-19: the unseen risks.,"{""value"":""2020-07-16""}","Syed, Akheel A; Soran, Handrean; Adam, Safwaan",BMJ
New Ebola outbreak in DRC has killed 20 people so far.,"{""value"":""2020-07-16""}","Mahase, Elisabeth",BMJ
Relatives warn of dangers of alternative treatments for cancer in BBC documentary.,"{""value"":""2020-07-16""}","Dyer, Clare",BMJ
"Covid-19: Rates fell rapidly on Isle of Wight after test and trace launch, early data show.","{""value"":""2020-07-16""}","Iacobucci, Gareth",BMJ
Covid-19: lack of guidance on PPE for hearing impaired doctors.,"{""value"":""2020-07-17""}","Williams, Isabelle J M",BMJ
Why I . . . sew.,"{""value"":""2020-07-17""}","Hurley, Richard",BMJ
"England's PPE procurement failures must never happen again.","{""value"":""2020-07-17""}","McKee, Martin",BMJ
Covid-19: UK test and trace system still missing 80% target for reaching contacts.,"{""value"":""2020-07-17""}","O'Dowd, Adrian",BMJ
Covid-19: Is the UK government marginalising scientists?,"{""value"":""2020-07-17""}","Torjesen, Ingrid",BMJ
What counts as a covid-19 death?,"{""value"":""2020-07-17""}","Pulla, Priyanka",BMJ
"Government must amend trade bill to exclude NHS from future deals, doctors say.","{""value"":""2020-07-17""}","Iacobucci, Gareth",BMJ
"Covid-19: Intensive care mortality has fallen by a third since pandemic began, researchers find.","{""value"":""2020-07-17""}","Mahase, Elisabeth",BMJ
"Government must ""stop dithering"" and tackle childhood obesity crisis, says Labour.","{""value"":""2020-07-17""}","Wise, Jacqui",BMJ
Covid-19: Local public health teams being denied access to data that could help them trace cases.,"{""value"":""2020-07-17""}","Torjesen, Ingrid",BMJ
Sixty seconds on . . . outbreak.,"{""value"":""2020-07-20""}","Rimmer, Abi",BMJ
Covid-19: Study reveals six clusters of symptoms that could be used as a clinical prediction tool.,"{""value"":""2020-07-20""}","Wise, Jacqui",BMJ
"Covid-19: England could need another lockdown in winter, say government's chief advisers.","{""value"":""2020-07-20""}","O'Dowd, Adrian",BMJ
"Covid-19: UK agrees ""early access"" deal with companies to get 90 million vaccine doses.","{""value"":""2020-07-20""}","Mahase, Elisabeth",BMJ
Covid-19: Male disadvantage highlights the importance of sex disaggregated data.,"{""value"":""2020-07-20""}","Womersley, Kate; Ripullone, Katherine; Peters, Sanne Ae; Woodward, Mark",BMJ
"Covid-19: Leicester's lockdown to ease this weekend as infection rates fall.","{""value"":""2020-07-20""}","Mahase, Elisabeth",BMJ
Caring for vulnerable patients during the pandemic: the consultant ophthalmologist.,"{""value"":""2020-07-20""}","Jones, Helen",BMJ
David Oliver: Why would Number 10 propose an NHS power grab?,"{""value"":""2020-07-21""}","Oliver, David",BMJ
Covid-19: Shielding doctors express concerns about returning to work.,"{""value"":""2020-07-21""}","Rimmer, Abi",BMJ
Anosmia and loss of smell in the era of covid-19.,"{""value"":""2020-07-21""}","Walker, Abigail; Pottinger, Gillian; Scott, Andrew; Hopkins, Claire",BMJ
Helen Salisbury: Timing is everything.,"{""value"":""2020-07-21""}","Salisbury, Helen",BMJ
Clare Gerada: We must not rush back to business as usual.,"{""value"":""2020-07-21""}","Gerada, Clare",BMJ
